#{"t_start": 1776276655.5548859, "env_id": "None"}
r,l,t
53.016334,500,1427.669625
61.746373,500,1429.676698
53.715428,500,1432.285686
58.808706,500,1434.368602
65.732933,500,1437.00339
50.663049,500,1439.010094
50.449136,500,1441.625799
54.99532,500,1443.643356
58.907656,500,1446.228091
57.243077,500,1448.266719
58.54485,500,1450.959124
70.065864,500,1453.022925
57.801252,500,1455.612303
61.827385,500,1457.600491
64.764742,500,1460.216024
65.730945,500,1462.299121
57.675205,500,1464.949445
65.89477,500,1466.916774
58.165174,500,1469.547277
56.297161,500,1471.488263
62.994697,500,1474.047791
66.045453,500,1476.049831
61.346861,500,1478.678958
63.767788,500,1480.661896
66.697095,500,1483.24475
50.747874,500,1485.260312
65.54536,500,1487.832949
69.003881,500,1489.812802
57.964728,500,1492.378764
84.051785,500,1494.390784
82.675447,500,1496.985061
55.035916,500,1498.985091
51.273699,500,1501.615877
52.199694,500,1503.60172
57.001576,500,1506.166379
66.563264,500,1508.131347
64.368739,500,1510.893949
65.7842,500,1512.818293
54.086916,500,1514.825494
59.20196,500,1517.542095
64.270393,500,1519.584495
48.529131,500,1522.153655
75.458109,500,1524.216735
53.988714,500,1526.793174
3.251955,500,1528.764346
62.950785,500,1531.461504
84.992442,500,1533.477122
67.866466,500,1536.058042
55.361629,500,1538.05225
70.311271,500,1540.649603
56.709154,500,1542.64349
64.266734,500,1545.225737
22.656563,500,1547.285976
53.800738,500,1549.935311
58.668197,500,1551.906514
64.234986,500,1554.542789
65.491288,500,1556.596811
55.041114,500,1559.222417
57.489276,500,1561.21764
56.723705,500,1563.769568
58.603429,500,1565.799695
65.657386,500,1568.505588
57.009463,500,1570.50238
56.953143,500,1573.155952
76.2758,500,1575.160642
67.141685,500,1577.72776
46.669535,500,1579.701873
69.158333,500,1582.291605
62.319306,500,1584.28842
54.392739,500,1586.909203
46.059591,500,1588.908504
64.286895,500,1591.473202
67.241567,500,1593.431684
63.589941,500,1596.052273
60.056495,500,1598.053246
65.310697,500,1600.60893
64.533454,500,1602.567654
46.368974,500,1605.168254
64.013393,500,1607.340518
63.819735,500,1609.498789
55.261568,500,1612.124917
62.80335,500,1614.135139
37.295467,500,1616.764325
56.86726,500,1618.787091
60.557769,500,1621.353167
46.769435,500,1623.390759
52.882664,500,1626.029721
70.16835,500,1627.977386
51.71962,500,1630.570932
56.297173,500,1632.538558
74.693315,500,1635.075765
78.945268,500,1637.048913
63.283758,500,1639.624918
57.661595,500,1641.606947
74.812485,500,1644.152476
65.206891,500,1646.171201
58.295559,500,1648.738352
81.245883,500,1650.723347
41.027544,500,1653.307077
81.91908,500,1655.288191
59.52503,500,1657.827237
68.745784,500,1659.799756
60.625166,500,1662.40908
32.99247,500,1664.458309
69.519097,500,1667.06194
50.072871,500,1669.018844
53.399362,500,1671.616345
63.054328,500,1673.639478
67.581397,500,1676.178582
53.107542,500,1678.177115
76.270485,500,1680.834025
62.306994,500,1682.871743
67.008278,500,1685.522491
45.899054,500,1687.491563
81.536031,500,1690.066556
63.373115,500,1692.074274
51.237644,500,1694.609277
61.296218,500,1696.562896
42.960688,500,1699.20187
62.693748,500,1701.163628
54.667554,500,1703.695376
54.556452,500,1705.744654
59.994082,500,1707.759067
54.431457,500,1710.29663
63.27509,500,1712.276872
58.479363,500,1714.918661
25.973364,500,1716.878315
11.886051,500,1719.453593
53.171153,500,1721.391549
-31.911007,500,1723.911979
62.228883,500,1725.915931
75.334679,500,1728.499506
66.581018,500,1730.519923
21.719509,500,1733.203443
77.418981,500,1735.125695
58.482312,500,1737.64751
65.316321,500,1739.60471
62.809174,500,1742.170232
59.232344,500,1744.20469
70.704021,500,1746.810473
35.230267,500,1748.812279
70.816632,500,1751.38491
58.439443,500,1753.333055
58.550687,500,1755.857912
61.810047,500,1757.823398
61.749471,500,1760.310739
60.47511,500,1762.346231
61.83579,500,1764.892666
60.100363,500,1766.906431
57.519667,500,1769.479132
34.477916,500,1771.464287
64.74174,500,1774.022231
